VDP
0.1,0.712461,1.74214,1.81102,0.705137
0.2,1.72724,1.87508,1.87643,1.72776
0.3,3.29593,1.77427,1.64806,0.46601
0.4,1.75024,1.87778,1.88427,1.75106
0.5,1.03902,1.97965,1.94514,1.04107
0.6,0.09617314422668623,1.4400322796851666,1.4697912783243763,0.09596143970275138
0.7,0.07411007563609119,1.619720750747457,1.7965687387821714,0.07382873981966838
0.8,0.11336075604621941,1.316072750775341,1.3160722609921685,0.11337624662765781
0.9,0.07263762930934772,2.1847821210230522,2.1847828713104076,0.07263716731031546


